Code,Predicted,Actual_Return,Weight_EW,Weight_PW
573,0.8266460983761398,-0.0093,0.03333333333333333,0.03499691715917143
600569,0.8097692826908193,-0.1383,0.03333333333333333,0.034282419719928674
2592,0.8088925638654489,0.1164,0.03333333333333333,0.03424530292210716
600409,0.8064519332200191,-0.219,0.03333333333333333,0.03414197630061577
601518,0.8063106024324658,0.0345,0.03333333333333333,0.03413599291561733
2068,0.8042076564541248,0.4509,0.03333333333333333,0.03404696252360462
603101,0.8034386017455509,0.0225,0.03333333333333333,0.03401440379747054
990,0.802619147038655,-0.0259,0.03333333333333333,0.03397971133530412
2774,0.8017476789442268,-0.1313,0.03333333333333333,0.033942816832605235
300162,0.7963352851388993,0.2198,0.03333333333333333,0.03371367754553916
600162,0.7946264901364428,0.0769,0.03333333333333333,0.03364133394256268
601015,0.792971915528979,-0.2117,0.03333333333333333,0.03357128581606112
683,0.7923171877372822,-0.2324,0.03333333333333333,0.033543567238143876
300650,0.7903786593342623,0.4724,0.03333333333333333,0.03346149763415681
949,0.7887585366542531,-0.0681,0.03333333333333333,0.033392908065620334
600623,0.786988621419778,-0.2249,0.03333333333333333,0.033317976874435426
423,0.7848531517793073,0.3921,0.03333333333333333,0.033227569559563574
2378,0.7837013423478569,-0.0631,0.03333333333333333,0.03317880651654576
2274,0.7795526810521421,0.1104,0.03333333333333333,0.03300316865171727
603876,0.7763537407799919,-0.0906,0.03333333333333333,0.03286773820824031
600714,0.77561513959824,0.1909,0.03333333333333333,0.032836468763647014
2023,0.7753756951333272,0.0453,0.03333333333333333,0.032826331634687914
300391,0.7739895551185474,-0.1945,0.03333333333333333,0.03276764796417455
2169,0.7733254207801461,0.0904,0.03333333333333333,0.032739531150378115
603888,0.7730107067062445,0.3237,0.03333333333333333,0.03272620740470897
300223,0.766166015570445,0.0428,0.03333333333333333,0.0324364303294524
600103,0.7659927227461198,0.0,0.03333333333333333,0.03242909379858496
2346,0.7622604622297701,0.0197,0.03333333333333333,0.03227108469122484
761,0.7595026518595334,-0.1457,0.03333333333333333,0.03215432993818424
601919,0.7583809319443902,0.0816,0.03333333333333333,0.032106840765945756
