Code,Predicted,Actual_Return,Weight_EW,Weight_PW
300069,0.2444318723009035,-0.2429,0.03333333333333333,0.040362230188687225
2323,0.2379807638588259,-0.059,0.03333333333333333,0.039296979894360706
300495,0.23432024554468942,0.2984,0.03333333333333333,0.03869253055878796
600651,0.21998804779275066,-0.1949,0.03333333333333333,0.03632590193819052
600287,0.21677789431358216,-0.0241,0.03333333333333333,0.035795819864819535
587,0.2111939418187882,0.1545,0.03333333333333333,0.03487376017662913
603032,0.2108176323557406,-0.2334,0.03333333333333333,0.034811621434137276
851,0.20908006766349213,-0.1069,0.03333333333333333,0.03452470309809502
600525,0.2086958627970911,-0.1243,0.03333333333333333,0.03446126061364601
806,0.2056561334083736,-0.0622,0.03333333333333333,0.033959320109145444
600545,0.20472048626022135,-0.2538,0.03333333333333333,0.03380481977654307
525,0.2036720895941399,0.0403,0.03333333333333333,0.03363170148731547
2264,0.20338025874833962,0.0984,0.03333333333333333,0.03358351242071188
2943,0.19934478680127238,0.0447,0.03333333333333333,0.03291714822640989
2519,0.19827710916259347,-0.0291,0.03333333333333333,0.032740846133667165
600732,0.19797347727719714,0.1329,0.03333333333333333,0.03269070840025445
300309,0.19595998619644878,-0.0248,0.03333333333333333,0.03235822724827118
2562,0.195528585221791,-0.1713,0.03333333333333333,0.032286991425876765
929,0.19483259719532328,0.185,0.03333333333333333,0.032172065214869885
600319,0.1947842005512784,-0.0787,0.03333333333333333,0.032164073636403
2192,0.19047715904770118,-0.2677,0.03333333333333333,0.03145286605547997
600758,0.19034794994602344,-0.0682,0.03333333333333333,0.03143153018198975
600112,0.189396708229085,0.9404,0.03333333333333333,0.03127445476959473
410,0.18921998730854273,0.1366,0.03333333333333333,0.03124527342590603
300211,0.18850908860024682,-0.1765,0.03333333333333333,0.03112788506310792
34,0.18615314956757617,0.0539,0.03333333333333333,0.030738856608463077
300337,0.18546172130935376,-0.126,0.03333333333333333,0.030624683336971787
600868,0.18425679824294955,-0.0727,0.03333333333333333,0.030425718358681245
600053,0.18313969924294612,-0.1465,0.03333333333333333,0.03024125547928152
603078,0.18157725904126082,-0.2664,0.03333333333333333,0.029983254873702358
