Code,Predicted,Actual_Return,Weight_EW,Weight_PW
300533,0.29915061559066974,-0.0053,0.03333333333333333,0.04942061385525583
2667,0.2509858692298741,0.2578,0.03333333333333333,0.04146364767407889
525,0.2403109231368051,0.0403,0.03333333333333333,0.03970011331614495
2466,0.2359854989297265,-0.1955,0.03333333333333333,0.038985539759021796
2562,0.2335156963135755,-0.1713,0.03333333333333333,0.03857752067087619
300149,0.22426405610557107,-0.1525,0.03333333333333333,0.037049120880206315
2432,0.22124432788139212,-0.2762,0.03333333333333333,0.036550252368034615
300647,0.20861331060591798,-0.274,0.03333333333333333,0.03446356895560796
851,0.2075541593603617,-0.1069,0.03333333333333333,0.034288593869504266
762,0.20542091435246038,-0.2539,0.03333333333333333,0.03393617514696218
798,0.20461046330061364,0.0043,0.03333333333333333,0.03380228610781439
300654,0.2038817768757465,0.2088,0.03333333333333333,0.03368190483982395
600545,0.2026292381679937,-0.2538,0.03333333333333333,0.03347498154236595
707,0.19988458789361083,-0.475,0.03333333333333333,0.0330215567646493
300068,0.19962528416134276,0.2927,0.03333333333333333,0.03297871898008268
600220,0.1996012676803367,-0.0872,0.03333333333333333,0.03297475138258461
600078,0.18952114435526124,0.085,0.03333333333333333,0.031309483599403595
603031,0.18916975077675968,0.0313,0.03333333333333333,0.03125143228528528
300170,0.18896149162218542,-0.2164,0.03333333333333333,0.031217027224009656
600732,0.18856167471601656,0.1329,0.03333333333333333,0.031150976225272582
2446,0.18625378451126853,0.1501,0.03333333333333333,0.030769705572013268
929,0.18520733423034585,0.185,0.03333333333333333,0.03059682872484352
663,0.17946624378780163,0.0854,0.03333333333333333,0.02964838269437536
2885,0.178870605260102,-0.0935,0.03333333333333333,0.02954998135357707
600313,0.1769061298238119,-0.2247,0.03333333333333333,0.029225443890154724
2865,0.1747089370279193,0.9715,0.03333333333333333,0.02886246079377381
300393,0.17163007304860586,-0.05,0.03333333333333333,0.028353822870585625
2725,0.17085136696646888,-0.1747,0.03333333333333333,0.02822517819935189
2337,0.16843374301043343,0.0896,0.03333333333333333,0.027825779188447194
300390,0.16733432111738056,-0.2418,0.03333333333333333,0.027644151265892872
