Code,Predicted,Actual_Return,Weight_EW,Weight_PW
300810,0.4755260000000001,-0.0388,0.03333333333333333,0.0472055215687662
300536,0.4755260000000001,0.2687,0.03333333333333333,0.0472055215687662
422,0.4755260000000001,-0.0005,0.03333333333333333,0.0472055215687662
300769,0.3469384615384617,0.2953,0.03333333333333333,0.03444062160468284
300831,0.3469384615384617,0.0405,0.03333333333333333,0.03444062160468284
600714,0.3469384615384617,-0.1131,0.03333333333333333,0.03444062160468284
300332,0.3469384615384617,0.254,0.03333333333333333,0.03444062160468284
300601,0.3469384615384617,-0.2157,0.03333333333333333,0.03444062160468284
762,0.3469384615384617,0.3993,0.03333333333333333,0.03444062160468284
2192,0.3469384615384617,0.3436,0.03333333333333333,0.03444062160468284
603032,0.3469384615384617,0.2877,0.03333333333333333,0.03444062160468284
300390,0.3469384615384617,0.2207,0.03333333333333333,0.03444062160468284
300900,0.3469384615384617,0.0426,0.03333333333333333,0.03444062160468284
2738,0.3469384615384617,0.4568,0.03333333333333333,0.03444062160468284
300302,0.3469384615384617,-0.0323,0.03333333333333333,0.03444062160468284
893,0.3469384615384617,-0.0017,0.03333333333333333,0.03444062160468284
301060,0.31897397260273974,-0.1931,0.03333333333333333,0.03166458352135039
2821,0.31897397260273974,-0.2125,0.03333333333333333,0.03166458352135039
300399,0.296,-0.1229,0.03333333333333333,0.029383954577362315
603538,0.296,-0.4042,0.03333333333333333,0.029383954577362315
300260,0.296,-0.0578,0.03333333333333333,0.029383954577362315
603456,0.296,0.0664,0.03333333333333333,0.029383954577362315
50,0.2913867647058823,-0.0392,0.03333333333333333,0.028925998170818264
600478,0.2913867647058823,0.5545,0.03333333333333333,0.028925998170818264
2733,0.2913867647058823,0.1661,0.03333333333333333,0.028925998170818264
300586,0.2913867647058823,0.4568,0.03333333333333333,0.028925998170818264
600313,0.2913867647058823,0.3879,0.03333333333333333,0.028925998170818264
600428,0.2913867647058823,0.0697,0.03333333333333333,0.028925998170818264
600610,0.28323921568627447,0.2869,0.03333333333333333,0.028117190027882488
600769,0.28323921568627447,0.024,0.03333333333333333,0.028117190027882488
