ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
688180.SH,20250704,37.81,41.17,37.81,40.21,257515.05,1010402.731,5.9831
688180.SH,20250707,40.0,40.52,37.82,37.97,175267.12,679989.491,-5.5708
688180.SH,20250708,38.03,39.12,37.59,37.87,123880.92,472975.801,-0.2634
688180.SH,20250709,37.87,38.55,37.21,37.93,108853.52,413113.712,0.1584
688180.SH,20250710,38.0,38.29,37.15,37.4,96739.67,363319.504,-1.3973
688180.SH,20250711,37.18,37.97,36.97,37.18,117783.83,440072.986,-0.5882
688180.SH,20250714,37.0,38.3,36.88,37.99,135372.67,508296.224,2.1786
688180.SH,20250715,37.84,39.14,37.31,38.51,151394.08,579216.49,1.3688
688180.SH,20250716,38.53,38.99,38.01,38.77,110371.92,425636.498,0.6751
688180.SH,20250717,38.7,39.68,38.62,39.66,140616.69,551892.583,2.2956
688180.SH,20250718,39.66,39.72,38.49,39.16,128498.2,501550.384,-1.2607
688180.SH,20250721,39.0,39.0,37.93,38.6,103902.65,400151.025,-1.43
688180.SH,20250722,38.59,41.49,38.39,39.29,181760.73,727080.459,1.7876
688180.SH,20250723,38.98,39.45,37.5,37.69,185740.39,711074.302,-4.0723
688180.SH,20250724,37.99,38.97,37.83,38.39,138522.07,532282.164,1.8573
688180.SH,20250725,38.54,39.18,37.91,38.0,121504.24,465797.058,-1.0159
688180.SH,20250728,38.4,40.0,38.19,39.69,168440.98,662350.582,4.4474
688180.SH,20250729,40.13,41.41,39.18,41.0,205862.49,834377.079,3.3006
688180.SH,20250730,40.6,41.55,39.0,39.12,187188.91,752892.1,-4.5854
688180.SH,20250731,39.0,40.5,38.3,38.46,199105.63,781927.687,-1.6871
688180.SH,20250801,38.4,39.85,37.74,38.08,152549.54,589249.576,-0.988
688180.SH,20250804,38.0,38.0,36.41,37.66,158395.13,587187.682,-1.1029
688180.SH,20250805,37.82,39.46,37.57,39.46,195950.45,754758.106,4.7796
688180.SH,20250806,41.2,44.95,41.1,41.28,390043.96,1663293.859,4.6123
688180.SH,20250807,41.0,41.8,38.98,39.85,256249.53,1028118.783,-3.4641
688180.SH,20250808,39.6,43.0,38.86,41.51,274807.41,1136946.262,4.1656
688180.SH,20250811,41.6,43.5,40.81,42.54,230867.62,966880.944,2.4813
688180.SH,20250812,42.12,43.08,40.6,41.38,191965.46,797651.515,-2.7268
688180.SH,20250813,41.3,44.0,41.03,43.46,239379.96,1024876.236,5.0266
688180.SH,20250814,43.35,44.4,42.66,42.72,219769.36,952643.219,-1.7027
688180.SH,20250815,41.03,42.35,40.98,42.0,209790.78,873905.865,-1.6854
688180.SH,20250818,42.0,47.94,42.0,47.06,325478.96,1452029.767,12.0476
688180.SH,20250819,47.0,47.6,45.31,45.32,210417.45,976654.616,-3.6974
688180.SH,20250820,45.5,46.1,44.11,44.83,167278.71,752348.082,-1.0812
688180.SH,20250821,45.11,46.82,44.61,45.36,177819.57,810794.225,1.1822
688180.SH,20250822,45.35,46.18,44.92,45.86,149844.32,682602.939,1.1023
