ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
688235.SH,20250704,231.03,233.9,228.03,229.64,23536.9,541315.146,-1.3955
688235.SH,20250707,229.99,230.0,223.09,223.35,25336.98,569648.936,-2.7391
688235.SH,20250708,223.39,227.38,222.22,223.15,26569.74,595290.729,-0.0895
688235.SH,20250709,223.0,229.22,220.01,226.46,30899.3,696196.001,1.4833
688235.SH,20250710,228.83,230.37,226.22,227.33,24210.64,552817.168,0.3842
688235.SH,20250711,227.45,231.49,225.28,229.9,29055.19,666243.143,1.1305
688235.SH,20250714,228.01,231.18,222.22,225.94,27849.85,626838.826,-1.7225
688235.SH,20250715,226.23,242.75,225.45,241.3,49021.28,1155900.816,6.7983
688235.SH,20250716,237.8,246.28,237.79,239.94,20772.79,501407.938,-0.5636
688235.SH,20250717,243.5,251.88,241.7,250.85,36446.46,902445.089,4.547
688235.SH,20250718,247.84,251.62,246.34,249.76,20191.58,502348.665,-0.4345
688235.SH,20250721,248.0,248.39,235.1,236.45,35502.39,848446.095,-5.3291
688235.SH,20250722,235.2,242.86,235.2,236.72,26940.94,644354.064,0.1142
688235.SH,20250723,237.6,241.82,236.98,238.13,20614.88,492624.011,0.5956
688235.SH,20250724,237.89,239.77,235.61,237.68,21877.18,519680.035,-0.189
688235.SH,20250725,238.08,241.55,234.0,234.87,23643.08,559474.529,-1.1823
688235.SH,20250728,235.69,242.18,235.0,241.42,27812.01,665076.873,2.7888
688235.SH,20250729,241.0,247.7,237.0,245.78,27405.0,668184.041,1.806
688235.SH,20250730,246.0,249.69,240.58,242.0,22435.06,550438.61,-1.538
688235.SH,20250731,241.49,244.97,237.11,238.24,21754.25,523538.17,-1.5537
688235.SH,20250801,237.8,239.85,234.66,237.88,26468.0,628137.343,-0.1511
688235.SH,20250804,238.0,244.45,234.24,243.51,24859.19,595888.548,2.3667
688235.SH,20250805,243.5,253.3,242.89,249.46,28357.26,706369.511,2.4434
688235.SH,20250806,250.3,250.3,243.6,245.54,19919.25,489235.584,-1.5714
688235.SH,20250807,248.0,250.99,234.2,235.66,48292.24,1160616.965,-4.0238
688235.SH,20250808,234.0,235.2,223.3,224.63,53880.98,1215694.232,-4.6805
688235.SH,20250811,225.0,231.32,224.95,228.98,25346.07,578994.68,1.9365
688235.SH,20250812,228.89,232.0,224.53,229.92,29440.75,669228.481,0.4105
688235.SH,20250813,230.0,236.36,228.1,233.79,36349.37,846082.067,1.6832
688235.SH,20250814,237.0,239.65,233.5,234.06,34184.06,809030.028,0.1155
688235.SH,20250815,234.1,241.96,231.5,241.19,45400.79,1081334.696,3.0462
688235.SH,20250818,242.42,246.95,239.33,243.0,37264.88,901376.0,0.7504
688235.SH,20250819,242.47,245.95,234.6,234.7,39523.54,945025.318,-3.4156
688235.SH,20250820,233.88,237.88,232.89,237.5,23236.88,547244.226,1.193
688235.SH,20250821,241.5,248.77,240.12,243.25,40536.26,992593.773,2.4211
688235.SH,20250822,245.17,247.34,240.5,247.25,34290.52,836020.776,1.6444
688235.SH,20250825,247.0,257.5,246.5,254.99,45312.12,1148079.2,3.1304
688235.SH,20250826,257.0,261.76,250.18,250.51,37728.35,960148.613,-1.7569
688235.SH,20250827,251.02,254.9,246.01,246.01,35273.8,883420.267,-1.7963
688235.SH,20250828,245.0,247.0,238.21,247.0,35457.16,863326.253,0.4024
688235.SH,20250829,247.02,286.28,247.02,278.0,90043.7,2415989.669,12.5506
688235.SH,20250901,289.99,310.3,287.0,300.0,118032.29,3529116.218,7.9137
688235.SH,20250902,299.85,346.0,298.0,324.85,137113.37,4430242.036,8.2833
688235.SH,20250903,319.93,330.0,311.2,326.08,94563.19,3048434.03,0.3786
688235.SH,20250904,336.2,337.99,298.88,308.1,105507.77,3314649.693,-5.514
688235.SH,20250905,303.05,320.0,293.11,319.8,87082.76,2685568.448,3.7975
688235.SH,20250908,320.0,328.68,312.1,318.0,71812.44,2289895.097,-0.5629
688235.SH,20250909,314.0,345.0,313.06,323.2,95443.46,3145213.029,1.6352
688235.SH,20250910,321.0,328.67,315.65,316.99,57418.25,1837110.929,-1.9214
688235.SH,20250911,285.1,307.0,278.9,305.18,131343.92,3855303.358,-3.7257
688235.SH,20250912,310.22,319.4,310.07,315.57,75087.27,2362964.704,3.4045
688235.SH,20250915,311.93,329.16,311.0,320.0,65459.05,2099755.393,1.4038
688235.SH,20250916,320.5,323.33,314.0,316.59,40799.66,1291535.143,-1.0656
688235.SH,20250917,316.6,321.5,312.11,313.33,45894.07,1446657.145,-1.0297
688235.SH,20250918,313.33,325.0,310.1,314.95,58354.29,1854581.852,0.517
688235.SH,20250919,316.8,322.56,306.28,310.2,47923.38,1498248.057,-1.5082
688235.SH,20250922,307.1,316.5,306.0,314.89,45006.14,1404155.796,1.5119
688235.SH,20250923,312.5,314.9,297.3,303.55,53225.94,1617990.882,-3.6013
688235.SH,20250924,303.83,311.77,303.21,309.68,43747.08,1349660.824,2.0194
688235.SH,20250925,311.0,324.3,310.0,315.67,50373.32,1608752.165,1.9343
688235.SH,20250926,313.3,314.2,301.01,301.85,44945.5,1371761.657,-4.378
688235.SH,20250929,300.55,302.61,295.3,301.02,31010.99,927725.062,-0.275
688235.SH,20250930,301.02,308.66,301.01,306.9,35251.6,1077225.146,1.9534
688235.SH,20251009,310.5,312.0,299.02,304.48,39183.95,1194366.632,-0.7885
688235.SH,20251010,300.88,302.51,283.0,285.59,55360.72,1609035.586,-6.204
688235.SH,20251013,274.01,286.96,274.0,284.15,36834.24,1040006.17,-0.5042
688235.SH,20251014,286.0,287.92,272.2,273.71,35200.02,982703.055,-3.6741
688235.SH,20251015,276.64,281.78,270.66,281.63,34700.77,963975.888,2.8936
688235.SH,20251016,280.0,293.0,278.88,285.68,38468.96,1103882.531,1.4381
688235.SH,20251017,285.0,285.0,271.99,273.67,36783.58,1018642.92,-4.204
688235.SH,20251020,276.39,279.79,272.17,274.55,22520.67,620758.064,0.3216
688235.SH,20251021,275.98,284.65,275.0,282.56,32857.03,920804.74,2.9175
688235.SH,20251022,280.0,286.58,278.79,281.95,19210.58,540610.526,-0.2159
688235.SH,20251023,280.26,280.26,270.0,276.35,26997.4,739799.109,-1.9862
688235.SH,20251024,277.15,281.32,276.37,279.8,22414.71,625692.725,1.2484
688235.SH,20251027,283.81,292.99,283.81,288.21,35431.63,1022467.091,3.0057
688235.SH,20251028,288.27,291.88,284.41,285.0,22355.66,640495.336,-1.1138
688235.SH,20251029,285.0,289.2,280.88,289.19,24637.24,702892.334,1.4702
688235.SH,20251030,286.48,287.0,279.07,281.8,25641.42,724999.075,-2.5554
688235.SH,20251031,281.8,298.68,280.29,296.75,57089.62,1673883.701,5.3052
688235.SH,20251103,298.9,299.0,281.01,282.5,59341.78,1692010.319,-4.802
688235.SH,20251104,281.31,282.99,271.04,272.51,43017.74,1175633.482,-3.5363
688235.SH,20251105,269.0,276.51,267.83,270.29,31145.75,844059.031,-0.8146
688235.SH,20251106,272.7,279.2,272.7,277.5,27779.96,766837.705,2.6675
688235.SH,20251107,286.0,286.0,278.26,279.0,36163.17,1018156.38,0.5405
688235.SH,20251110,273.1,283.58,270.3,280.16,31026.42,854562.184,0.4158
688235.SH,20251111,281.16,284.65,276.66,278.0,26189.99,733843.887,-0.771
688235.SH,20251112,282.86,293.9,280.01,293.62,61977.97,1792841.512,5.6187
688235.SH,20251113,303.32,313.25,300.25,304.59,73016.17,2236091.716,3.7361
688235.SH,20251114,296.02,307.77,296.02,298.8,40216.93,1213979.263,-1.9009
688235.SH,20251117,298.23,298.23,287.0,290.78,30765.87,892653.998,-2.6841
688235.SH,20251118,294.9,302.67,286.39,289.37,33431.2,983416.806,-0.4849
688235.SH,20251119,283.8,286.74,280.66,284.02,24140.42,683864.528,-1.8488
688235.SH,20251120,282.5,286.94,282.3,283.58,19044.43,541705.493,-0.1549
688235.SH,20251121,279.0,284.0,277.31,278.88,23237.04,651283.796,-1.6574
