ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,rsi14,ema12,ema26,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,bb_width,kdj_rsv,kdj_k,kdj_d,kdj_j
688180.SH,2025-07-04,37.81,41.17,37.81,40.21,257515.05,1010402.731,5.9831,,40.21,40.21,0.0,0.0,0.0,,,,,,,,
688180.SH,2025-07-07,40.0,40.52,37.82,37.97,175267.12,679989.491,-5.5708,,39.86538461538461,40.044074074074075,-0.17868945868946184,-0.03573789173789237,-0.14295156695156946,,,,,,,,
688180.SH,2025-07-08,38.03,39.12,37.59,37.87,123880.92,472975.801,-0.2634,,39.5584023668639,39.883031550068594,-0.32462918320469214,-0.09351615003125233,-0.2311130331734398,,,,,,,,
688180.SH,2025-07-09,37.87,38.55,37.21,37.93,108853.52,413113.712,0.1584,,39.30787892580791,39.73836254635981,-0.4304836205518967,-0.16090964413538122,-0.2695739764165155,,,,,,,,
688180.SH,2025-07-10,38.0,38.29,37.15,37.4,96739.67,363319.504,-1.3973,,39.014359091068236,39.56515050588872,-0.5507914148204804,-0.2388859982724011,-0.31190541654807935,,,,,,,,
688180.SH,2025-07-11,37.18,37.97,36.97,37.18,117783.83,440072.986,-0.5882,,38.73215000013466,39.388472690637705,-0.6563226905030461,-0.3223733367185301,-0.33394935378451607,,,,,,,,
688180.SH,2025-07-14,37.0,38.3,36.88,37.99,135372.67,508296.224,2.1786,,38.61797307703702,39.28488212096084,-0.6669090439238161,-0.39128047815958733,-0.2756285657642288,,,,,,,,
688180.SH,2025-07-15,37.84,39.14,37.31,38.51,151394.08,579216.49,1.3688,,38.60136183441594,39.22748344533411,-0.6261216109181689,-0.43824870471130367,-0.1878729062068652,,,,,,,,
688180.SH,2025-07-16,38.53,38.99,38.01,38.77,110371.92,425636.498,0.6751,,38.62730616758272,39.19359578271677,-0.5662896151340533,-0.46385688679585363,-0.10243272833819966,,,,,44.05594405594408,44.05594405594408,44.05594405594408,44.05594405594408
688180.SH,2025-07-17,38.7,39.68,38.62,39.66,140616.69,551892.583,2.2956,,38.78618214180076,39.22814424325627,-0.44196210145550907,-0.4594779297277848,0.017515828272275713,,,,,76.37362637362621,54.82850482850479,47.64679764679765,69.19191919191908
