模型,MSE,MAE,说明
LinearRegression,0.05759549412893572,0.17321296991491486,回归预测
LogisticRegression,0.3316596111518926,0.5429015450634874,二分类概率排序，AUC=0.5702
DecisionTree,0.05876920569231187,0.1729666641206245,回归预测
RandomForest,0.05628379758591241,0.1699086522284657,回归预测
