模型,权重方式,累计收益,年化收益,年化波动率,夏普比率,最大回撤,信息比率,超额胜率
Market,--,-0.06354730610526782,-0.05136887640601916,0.16686016568419387,-0.30785583962107477,-0.15910261296587414,0.0,0.0
LinearRegression,EW,0.13620597252312994,0.1451266666666667,0.18182807108181437,0.7981532543529338,-0.05421666666666669,1.1270122757767216,0.75
LinearRegression,PW,0.13566949478562695,0.14484532451391435,0.18310913315519872,0.7910327683717834,-0.05237746176316693,1.1282912987029534,0.75
LogisticRegression,EW,0.20138135002123225,0.20070333333333334,0.16864985175570782,1.1900593522255538,-0.03215000000000001,1.3310324571159424,0.75
LogisticRegression,PW,0.1989054884858401,0.1987136485702689,0.16978518148221755,1.1703827556416115,-0.032101352225991864,1.3197678887017357,0.75
DecisionTree,EW,-0.012130075497936876,-0.0007866666666666716,0.15112714316098216,-0.005205330096319669,-0.10028666666666664,0.3619334547517298,0.5
DecisionTree,PW,-0.011876531583823069,-0.0006420835479122033,0.15030366973529397,-0.004271908656941,-0.10102427858651286,0.3573537866275233,0.5
RandomForest,EW,0.11855059263256496,0.12327000000000002,0.14068870430650943,0.8761897453504128,-0.05550333333333346,2.21056775951803,0.75
RandomForest,PW,0.1293216793451908,0.1330103840286911,0.14005515203855087,0.9497000438233028,-0.0495419085774742,2.5868700581860935,0.75
