ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,tr,atr,entry_high,exit_low,position,trade,trade_reason,stop_line,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-08-19,63.4,65.4,61.63,61.69,997700.49,6322095.612,-2.2036,3.770000000000003,1.7148421556082483,65.43,60.0,0.0,0.0,,,-0.022035510462904306,0.0,1.0,1.1582801351858811,0.0
600276.SH,2025-08-20,61.66,62.97,61.11,62.85,650424.42,4025484.233,1.8804,1.8599999999999994,1.7221000478278357,65.43,60.0,0.0,0.0,,,0.018803695898849115,0.0,1.0,1.1800600826135943,0.0
600276.SH,2025-08-21,63.98,65.33,62.95,63.99,858629.23,5507421.603,1.8138,2.479999999999997,1.7599950454364437,65.43,60.0,0.0,0.0,,,0.018138424821002364,0.0,1.0,1.2014645137063469,0.0
600276.SH,2025-08-22,64.71,65.2,63.83,64.98,637718.91,4115097.233,1.5471,1.3700000000000045,1.7404952931646216,65.43,60.0,0.0,0.0,,,0.015471167369901506,0.0,1.0,1.2200525722868951,0.0
600276.SH,2025-08-25,64.98,66.4,64.37,66.26,849233.81,5551997.681,1.9698,2.030000000000001,1.7549705285063906,65.43,60.26,0.0,0.0,,,0.019698368728839677,0.0,1.0,1.2440856177243718,0.0
600276.SH,2025-08-26,66.2,66.2,65.0,65.3,575129.37,3761929.156,-1.4488,1.2600000000000051,1.7302220020810712,66.4,60.26,1.0,1.0,通道突破买入,62.69005894298722,-0.014488379112586935,-0.013995166163142047,0.986004833836858,1.2260608336462642,-0.013995166163142003
600276.SH,2025-08-27,65.01,65.71,63.04,63.05,836169.34,5375767.159,-3.4456,2.6699999999999946,1.7772109019770173,66.4,60.85,1.0,0.0,,62.69005894298722,-0.034456355283307816,-0.034456355283307816,0.9520307009711163,1.1838152459631999,-0.047969299028883694
600276.SH,2025-08-28,62.95,63.22,61.41,63.03,715901.54,4469129.644,-0.0317,1.8100000000000023,1.7788503568781664,66.4,61.11,1.0,0.0,,62.69005894298722,-0.0003172085646311329,-0.0003172085646311329,0.9517287086789765,1.1834397296282395,-0.04827129132102348
600276.SH,2025-08-29,63.03,66.87,63.03,66.23,1023186.07,6677635.302,5.0769,3.8400000000000034,1.8819078390342583,66.4,61.11,1.0,0.0,,62.69005894298722,0.05076947485324457,0.05076947485324457,1.0000474754213649,1.243522343221931,0.0
600276.SH,2025-09-01,66.4,68.88,65.92,68.35,872180.89,5917826.674,3.201,2.9599999999999937,1.935812447082545,66.87,61.11,1.0,0.0,,62.69005894298722,0.03200966329457944,0.032009663294579216,1.0320586583881968,1.2833270747277514,0.0
