模型,Accuracy,Precision,Recall,F1,AUC,TP,FP,FN,TN
决策树,0.5983152827918171,0.5041938490214353,0.3224076281287247,0.39331152308251544,0.5848341090836651,541,532,1137,1945
随机森林,0.6223826714801444,0.5638921453692849,0.2866507747318236,0.3800869221651521,0.627824856378323,481,372,1197,2105
