ts_code,trade_date,open,high,low,close,vol,amount,pct_chg,ma_short,ma_long,signal,trade,position,market_return,strategy_return,strategy_nav,buy_hold_nav,drawdown
600276.SH,2025-08-26,66.2,66.2,65.0,65.3,575129.37,3761929.156,-1.4488,64.676,62.818666666666665,1,0.0,1.0,-0.014488379112586935,-0.014488379112586935,1.118112655115701,1.2260608336462642,-0.014488379112586935
600276.SH,2025-08-27,65.01,65.71,63.04,63.05,836169.34,5375767.159,-3.4456,64.716,62.916666666666664,1,0.0,1.0,-0.034456355283307816,-0.034456355283307816,1.0795865682242718,1.1838152459631999,-0.04844551765771221
600276.SH,2025-08-28,62.95,63.22,61.41,63.03,715901.54,4469129.644,-0.0317,64.524,63.06466666666667,1,0.0,1.0,-0.0003172085646311329,-0.0003172085646311329,1.0792441141185702,1.1834397296282395,-0.048747358889224435
600276.SH,2025-08-29,63.03,66.87,63.03,66.23,1023186.07,6677635.302,5.0769,64.774,63.414,1,0.0,1.0,0.05076947485324457,0.05076947485324457,1.1340367710308252,1.243522343221931,-0.0004527618472683903
600276.SH,2025-09-01,66.4,68.88,65.92,68.35,872180.89,5917826.674,3.201,65.19200000000001,63.89933333333333,1,0.0,1.0,0.03200966329457944,0.03200966329457944,1.170336906235194,1.2833270747277514,0.0
600276.SH,2025-09-02,69.8,70.77,67.8,68.87,1084489.69,7512721.689,0.7608,65.90599999999999,64.434,1,0.0,1.0,0.007607900512070387,0.007607900512070387,1.1792407129834357,1.2930904994367265,0.0
600276.SH,2025-09-03,68.8,73.42,68.8,71.98,1129369.01,8078844.874,4.5158,67.692,65.05866666666667,1,0.0,1.0,0.04515754319732834,0.04515754319732834,1.2324923264200334,1.3514832895230953,0.0
600276.SH,2025-09-04,71.27,71.58,67.5,68.65,1102894.06,7625423.229,-4.6263,68.816,65.44733333333333,1,0.0,1.0,-0.046262850791886634,-0.046262850791886634,1.1754737178207182,1.2889598197521601,-0.046262850791886634
600276.SH,2025-09-05,69.0,72.98,69.0,72.47,936478.56,6663122.815,5.5645,70.064,66.05199999999999,1,0.0,1.0,0.055644573925710095,0.055644573925710095,1.2408824520097224,1.3606834397296292,0.0
600276.SH,2025-09-08,73.0,73.87,71.64,72.31,748209.28,5423039.921,-0.2208,70.85600000000001,66.66733333333333,1,0.0,1.0,-0.0022078101283289353,-0.0022078101283289353,1.2381428191641097,1.3576793090499446,-0.0022078101283288243
600276.SH,2025-09-09,72.17,74.04,70.48,71.09,767670.09,5517534.684,-1.6872,71.3,67.29400000000001,1,0.0,1.0,-0.01687180196376714,-0.01687180196376714,1.2172531187163125,1.3347728126173497,-0.019042362356837317
600276.SH,2025-09-10,70.84,71.77,70.08,70.32,468204.13,3306783.039,-1.0831,70.968,67.792,1,0.0,1.0,-0.010831340554227187,-0.010831340554227187,1.2040686356468009,1.3203154337213676,-0.02966744859942061
600276.SH,2025-09-11,66.58,68.47,64.0,68.29,1942359.37,12928573.364,-2.8868,70.896,68.07866666666668,1,0.0,1.0,-0.028868031854379805,-0.028868031854379805,1.1693095439180894,1.28220052572287,-0.05767903960259424
600276.SH,2025-09-12,68.28,69.51,67.86,69.01,831215.21,5710845.365,1.0543,70.20400000000001,68.34733333333334,1,0.0,1.0,0.01054327134280264,0.01054327134280264,1.1816378917233465,1.2957191137814503,-0.04774389402511403
600276.SH,2025-09-15,68.85,69.69,68.26,69.1,611881.53,4225790.379,0.1304,69.562,68.53666666666666,1,0.0,1.0,0.0013041588175624064,0.0013041588175624064,1.1831789351990034,1.2974089372887725,-0.04650200082792921
600276.SH,2025-09-16,69.1,69.34,68.34,69.15,434582.05,2991348.434,0.0724,69.174,68.79333333333334,1,0.0,1.0,0.0007235890014474222,0.0007235890014474222,1.1840350704632576,1.2983477281261742,-0.04581206016282624
600276.SH,2025-09-17,69.3,70.8,69.3,70.13,586033.71,4103135.889,1.4172,69.136,69.26533333333333,0,-1.0,1.0,0.014172089660158926,0.014172089660158926,1.2008153216426356,1.3167480285392419,-0.03228922312681137
600276.SH,2025-09-18,70.56,73.12,69.9,71.09,865638.88,6173830.34,1.3689,69.696,69.80266666666667,0,0.0,0.0,0.013688863539141671,-0.001,1.1996145063209929,1.3347728126173495,-0.03325693390368467
